Nombre Empleado,Cargo,Sueldo Base,Desc Salud,Desc AFP,Sueldo Bruto
Juan Perez,Consultor TI,1738590,121701,208630,1408257
Maria Garcia,Analista,1364519,95516,163742,1105260
Carlos Lopez,Programador,1635720,114500,196286,1324933
Ana Martinez,Jefe de Proyecto,1396212,97734,167545,1130931
Pedro Rodriguez,Consultor TI,1144099,80086,137291,926720
Laura Hernandez,Analista,1374032,96182,164883,1112965
Miguel Sanchez,Programador,926671,64866,111200,750603
Isabel Gomez,Jefe de Proyecto,1486955,104086,178434,1204433
Francisco Diaz,Consultor TI,1162206,81354,139464,941386
Elena Fernandez,Analista,1605908,112413,192708,1300785
